id,source,title,year,journal,doi,pmid,abstract,include
11,pubmed,Sustainable by Design: Digital Health Business Models for Equitable Global Health Impact in Low-Income and Low-Middle-Income Countries.,2025,Mayo Clinic proceedings. Digital health,10.1016/j.mcpdig.2025.100261,41140345,This study explores challenges and potential strategies related to sustaining digital health business models and markets in low-income and low-middle-income countries using a critical interpretive synthesis approach. We extracted 21 articles from a database search that yielded over 1300 hits and used insights from 7 expert reviewers with experience operating or funding digital health companies in low-middle -income countries. Findings reveal 4 key challenges: (1) internal challenges related to managing value creation for complex stakeholder networks and external challenges related to (2) infra,
12,pubmed,Operationalizing African self-reliance in vaccine manufacturing.,2025,Global health action,10.1080/16549716.2025.2560209,41040058,"The COVID-19 pandemic underscored Africa's urgent need for vaccine security and self-reliance. In response, the African Union and Africa Centers for Disease Control and Prevention (CDC) established the Framework for Action (FFA) through the Platform for Harmonized African Health Products Manufacturing (PHAHM), with a goal of 60% local vaccine production by 2040. During 2024, Africa CDC, Karolinska Institutet, and Charité Universitätsmedizin Berlin organized a seminar series to discuss advancing this agenda, including a multidisciplinary international expert panel. The series concluded that ach",
13,pubmed,Optimization and prioritization of paediatric drugs for visceral leishmaniasis.,2025,Frontiers in pediatrics,10.3389/fped.2025.1635252,40980123,"Visceral leishmaniasis (VL) is a fatal disease if left untreated. Globally, at least 50% of VL cases are reported to be children younger than 15 years, with a higher incidence among males. VL is intrinsically associated with poverty and poor social determinants of health. Malnutrition and immune suppression are risk factors for severe VL, making children particularly vulnerable to this disease. Available treatment options vary depending on the eco-epidemiological context, but are in general suboptimal, especially for children. In 2023, the World Health Organization convened a paediatric drug o",
14,pubmed,"Progress, impacts and lessons from market shaping in the past decade: a systematic review.",2025,Frontiers in public health,10.3389/fpubh.2025.1614471,40917430,"Market shaping activities have been increasingly used to improve access to health products, such as the advance market commitments used to increase access to the pneumococcal vaccine and COVID-19 vaccines. This paper reviewed the progress and impacts, and identified enablers and barriers of market shaping activities in the past decade. We conducted a systematic review using a structured searching strategy across five academic databases and key actors' websites for gray and white literature published in English since 2012. Two researchers independently performed screening, data extraction, and ",
15,pubmed,Therapeutic value of oncology drugs approved by Health Canada through Project Orbis: a cross-sectional study.,2025,Journal of cancer policy,10.1016/j.jcpo.2025.100635,40854481,"In May 2019, the US Food and Drug Administration (FDA) initiated Project Orbis with the aim of providing patients faster access to promising cancer treatments by promoting coordination with international regulatory agencies, including Health Canada. This study evaluates the additional therapeutic value of drugs approved by Health Canada through Project Orbis. The FDA list of drugs approved through Project Orbis until the end of 2024 was downloaded and drugs that Health Canada participated in were identified. The type of approval that Health Canada gave these drugs - standard, priority and Noti",
16,pubmed,Disparities in access to systemic therapies for patients with hepatocellular carcinoma: an analysis from the International Liver Cancer Association.,2025,The Lancet regional health. Europe,10.1016/j.lanepe.2025.101408,40799504,"Hepatocellular carcinoma (HCC) is a major cause of cancer deaths worldwide. It is often diagnosed at advanced stages, requiring systemic therapies like sorafenib, lenvatinib, atezolizumab-bevacizumab, and tremelimumab-durvalumab. However, disparities in access to systemic therapies for HCC remain a major global challenge, particularly in low- and middle-income countries where high drug costs, regulatory delays, and limited healthcare infrastructure impede treatment. Drawing on international experience, we highlight the urgent need for coordinated advocacy and innovative programs-such as Projec",
17,pubmed,Trust Beyond Borders: European External Regulatory Influence on Access to Medicines.,2025,"The Journal of law, medicine & ethics : a journal of the American Society of Law, Medicine & Ethics",10.1017/jme.2025.10140,40799076,"European institutions are widely recognized as wielding regulatory power in a globalized market, exporting its standards across borders and between sectors. This paper asks what institutional dynamics catalyze European external regulatory impact on pharmaceutical governance in low- and middle-income countries (LMICs). The research focuses on two European regulatory bodies, the European Medicines Agency (EMA) and the European Patent Office (EPO), and explores the dynamics of their technocratic outreach beyond European borders. We find that trust is a key underlying institutional dynamic facilit",
18,pubmed,Hepatitis E vaccine landscape update 2025.,2025,Expert review of vaccines,10.1080/14760584.2025.2543809,40757700,"Hepatitis E virus (HEV) is a significant public health concern, particularly in resource-limited and conflict-affected settings. While often self-limiting, HEV infection poses severe risks for pregnant women contracted with genotype 1 or 2, leading to high maternal mortality, and can cause chronic infection in immunocompromised individuals. This review examines the epidemiology, clinical manifestations, and vaccine landscape of HEV, highlighting licensed and investigational candidates. We discuss HEV 239 vaccine the only licensed HEV vaccine which has shown high efficacy and cross-genotype pro",
19,pubmed,Comparison of the review models and regulatory timelines of seven countries participating in the ECOWAS-MRH initiative: identifying opportunities for improvement.,2025,Frontiers in medicine,10.3389/fmed.2025.1587761,40727527,"National regulatory medicines authorities (NRAs) are mandated to ensure timely access to high-quality, safe and efficacious medical products, primarily achieved through a marketing authorisation procedure established in each country. The aim of this study which was similar to that carried out in the SADC and EAC regions, was to assess and compare the review models and regulatory timelines of seven of the national medicines regulatory authorities (NRAs) of the Economic Community of West African States-Medicines Regulatory Harmonization (ECOWAS- MRH) initiative, Burkina Faso, Cote d'Ivoire, Ghan",
20,pubmed,Current landscape of innovative drug development and regulatory support in China.,2025,Signal transduction and targeted therapy,10.1038/s41392-025-02267-y,40691459,"The global pharmaceutical landscape remains dynamic and competitive, shaped by advancements in first-in-class therapies and breakthrough technologies. The United States has maintained its leadership in first-in-class therapies and breakthrough technologies, driven by advanced regulatory pathways, significant multinational corporation investments, a robust Research and Development (R&D) workforce, and continuous technological innovation. Additionally, global impact of the Food and Drug Administration (FDA) is further amplified through collaborations like Project Orbis, which facilitates simulta",
21,pubmed,Reliance into Action : Understanding EMA Documents to Streamline Reliance for Marketing Authorization Applications.,2026,Therapeutic innovation & regulatory science,10.1007/s43441-025-00824-9,40581695,"According to data gathered from across EU pharmaceutical trade associations, the European Medicines Agency (EMA) is one of the most frequently selected reference regulatory authority (RRA) for reliance procedures due its transparency, detailed decision-making reflected on its public assessment reports and easy access to information related to the assessment of medicines. This review discusses the implementation of unilateral reliance pathways for marketing authorization applications (MAAs) based on EMA assessment. The EMA established a focus group dedicated to reliance in 2022, with the primar",
22,pubmed,"The value of a structured, systematic approach to benefit-risk assessment of medicines: A South African regulator case study.",2025,Regulatory toxicology and pharmacology : RTP,10.1016/j.yrtph.2025.105893,40581143,"This study investigates the utility of the Universal Methodology for Benefit-Risk Assessment (UMBRA) framework within the South African Health Products Regulatory Authority (SAHPRA) to determine whether adopting a structured approach improves consistency, transparency, and quality in benefit-risk assessments of new chemical entities (NCEs). The UMBRA eight-step framework was applied retrospectively and prospectively to six NCEs to systematically document the decision context, identify benefits and risks, and interpret the benefit-risk balance. Comparisons were made between initial SAHPRA narra",
23,pubmed,"Strengthening Vaccine Regulation: Insights from COVID-19 Vaccines, Best Practices, and Lessons for Future Public Health Emergencies.",2025,Vaccines,10.3390/vaccines13060638,40573969,,
24,pubmed,Transitioning to regulatory harmonisation for medicines: a comparison between Africa and Europe.,2025,Drug discovery today,10.1016/j.drudis.2025.104416,40562205,"The harmonisation of medicines regulation has varied across regions. Europe began over 50 years ago, whereas Africa started only recently through regional initiatives. We compared regulatory developments in both regions, examining stakeholder influence, philosophy, funding, and systems. Key differences included legislation (common binding legislation was essential to success in Europe), economics, disease patterns, and industrial policy, while protecting health and work-sharing were common goals. Disease outbreaks drove African manufacturing and regulatory strengthening, whereas European harmo",
25,pubmed,Strategic Approach to Enhancing Diagnostic Precision: Optimizing Panel Size for HBV and HCV Viral Load Monitoring Kits.,2025,Journal of medical virology,10.1002/jmv.70437,40492615,"To effectively manage and treat infections caused by the hepatitis B (HBV) and hepatitis C virus (HCV), performing viral load monitoring using high-quality diagnostic kits is essential. First-time quality control evaluation, ""performance evaluation"" (PE), is critical to ensure its reliability. This depends on the quality and sample size used for quality control evaluation. This is the first study that attempts to optimize the sample size requirement for doing the PE of HBV and HCV viral load monitoring kits. The leftover plasma samples were characterized using closed systems. Various random su",
26,pubmed,Strengthening the Use of International Collaborative Regulatory Assessments and Regulatory Alignment- Implications for Global Convergence.,2025,Therapeutic innovation & regulatory science,10.1007/s43441-025-00817-8,40484897,"There has been a significant growth in international regulatory information-sharing and work-sharing initiatives in recent years, leading to reductions in submission lag and regulatory review timeframes. However, regulatory approvals in some major countries can still lag by months or years after the first global approval, with impacts on availability of new medicines for patients. This review assesses the impact of current international collaborative initiatives and proposes some options for their advancement. It also explores the potential impact of other factors such as greater alignment and",
27,pubmed,"Respiratory syncytial virus prophylaxis for children in Africa: Challenges, opportunities and public health strategies.",2025,Journal of public health in Africa,10.4102/jphia.v16i1.1251,40469396,"Respiratory syncytial virus (RSV) is a leading cause of severe lower respiratory tract infections (LRTIs) in young children, accounting for an estimated 94 600 to 149 400 deaths annually and over 33 million cases of LRTI. The burden is particularly acute in Africa, where limited healthcare access, malnutrition, and co-infections exacerbate outcomes. Despite the introduction of maternal vaccines, such as RSVpreF (respiratory syncytial virus prefusion F protein vaccine), and monoclonal antibodies (mAbs), such as nirsevimab, barriers including high costs, infrastructure limitations, and vaccine h",
28,pubmed,The Path To Tarlatamab Approval: Leveraging Innovative Strategies and Global Regulatory Pathways.,2025,Therapeutic innovation & regulatory science,10.1007/s43441-025-00809-8,40419854,"On May 16, 2024, tarlatamab-dlle (IMDELLTRA",
29,pubmed,Veterinary medicinal product regulation in sub-Saharan Africa: identifying barriers and opportunities for enhancing VMP regulatory systems.,2025,Frontiers in veterinary science,10.3389/fvets.2025.1532098,40417371,"Effective regulation of veterinary medicines is essential to ensure veterinarians and animal keepers have access to assured quality, safe and effective products to prevent and treat animal disease. The maturity of national veterinary medicine regulatory systems varies between countries across sub-Saharan Africa and immature systems disincentivise manufacturers from bringing products to these markets. Common barriers to regulatory system strengthening identified by national regulatory agencies (NRAs) in the region include lack of financial resources, lack of trained personnel, and a need for su",
30,pubmed,"Safety of nOPV2 administered during a supplementary immunisation activity in Uganda, 2022: data triangulation from a prospective cohort event monitoring programme and vaccine safety surveillance reports.",2025,The Lancet. Global health,10.1016/S2214-109X(25)00110-X,40414241,"In November, 2020, WHO authorised novel oral polio vaccine type 2 (nOPV2) use under Emergency Use Listing in response to outbreaks of circulating vaccine-derived poliovirus type 2 (cVDPV2). Although no concerns were identified in nOPV2 trials, the Global Advisory Committee on Vaccine Safety requested more extensive vaccine safety data during emergency use. The Uganda Ministry of Health declared a cVDPV2 outbreak in 2021 and responded with an nOPV2 campaign in January, 2022. More than 9 million children aged 0-59 months were vaccinated, providing an opportunity to generate robust safety data. W",
31,pubmed,Is the STAT Classification the Best That We Can Do?,2025,Seminars in thoracic and cardiovascular surgery. Pediatric cardiac surgery annual,10.1053/j.pcsu.2025.02.002,40382120,"Case-mix description and adjustment is foundational for quality assessment and improvement. The current STAT system has evolved and improved over the past 2 decades. While imperfect, in its present form it has been and will be immensely useful as a tool to help guide and assess progress. Herein is presented an abbreviated review of the origin and evolution of the current system. Pitfalls in its use and inherent weaknesses are discussed, and the need for continued revisions and updates is acknowledged. A summary judgement of ""good enough for now"" is suggested.",
32,pubmed,"Worldwide Regulatory Reliance: Results of an Executed Chemistry, Manufacturing, and Control Post-Approval Change Pilot.",2025,PDA journal of pharmaceutical science and technology,10.5731/pdajpst.2024-003023.1,40300810,"Post-approval changes (PACs) are integral to pharmaceutical product life cycle management, ensuring that the product remains safe, effective, and compliant with evolving standards. However, managing these changes across multiple regulatory jurisdictions remains a challenging endeavor due to diverse regulatory requirements and timelines across national regulatory authorities (NRAs). This results in delays in obtaining approval from NRAs, impacting global supply chains and ultimately jeopardizing timely access to essential medical products by patients. In 2021, the World Health Organization issu",
33,pubmed,"Evaluation of the implementation and the associated operating costs of a medicine regulatory harmonisation model in Africa: the case of ZaZiBoNa, a SADC work-sharing initiative.",2025,Journal of pharmaceutical policy and practice,10.1080/20523211.2025.2490565,40291139,"To improve the access to and affordability of medicines, countries in the Southern African Development Community (SADC) established ZaZiBoNa, a medicine regulatory harmonisation initiative. Studies have evaluated the initiative's technical and operational efficiencies and effectiveness. This study evaluated ZaZiBoNa from project implementation and cost perspectives, at the 5-year mark, to establish a business case for further investment. A quantitative and desk review were undertaken. Two surveys, one with 7 National Regulatory Authorities (NRAs) that participated in the initiative in the init",
34,pubmed,The paradigm shift from Stringent Regulatory Authorities to WHO-Listed Authorities.,2025,Annales pharmaceutiques francaises,10.1016/j.pharma.2025.03.006,40180034,"Regulatory systems play a key role in assuring the quality, safety, and efficacy of health products. After more than 20 years of efforts on regulatory capacity improvement of the less-equipped National Regulatory Authorities, the transition from the concept of Stringent Regulatory Authorities (SRAs) to WHO-Listed Authorities (WLAs) represents a significant paradigm shift in global health ecosystem. This review aims to provide a better understanding of this evolution and to clarify the WLA concept, as a component for the long-term success of this framework.",
35,pubmed,Vaccine Inequity in the COVID-19 Crisis: Lessons to Leverage Global Health Law through Market-Shaping Policies.,2025,"The Journal of law, medicine & ethics : a journal of the American Society of Law, Medicine & Ethics",10.1017/jme.2025.18,40143624,"This article critically examines the inequities in the access to COVID-19 vaccine and the lessons for global health law. Despite the rapid development and approval of COVID-19 vaccines, the rollout exposed severe systemic failures rooted in preexisting economic distortions and market inefficiencies. The article argues that addressing vaccine inequity requires more than improved distribution and solidarity, but effective reinvention of the global vaccine supply chain through evidence-based and meaningful market-shaping measures. It calls for a transformative approach to global health governance",
36,pubmed,"Establishing Sustainable Access to Quality Uterotonics in Kano, Lagos and Niger States-A Supply Chain Perspective.",2025,The International journal of health planning and management,10.1002/hpm.3910,40064625,"The quality of oxytocin and misoprostol, the most widely used uterotonics for postpartum haemorrhage (PPH) management, suffer supply chain challenges and climactic susceptibilities. To describe a supply chain strengthening programme for introducing heat-stable Carbetocin (HSC), to health facilities in Kano, Lagos and Niger states. Human-centred design (HCD) was employed to uncover uterotonics supply chain challenges and to identify priority interventions across a market-shaping value chain to facilitate the rollout of HSC. Through a mixed-methods approach and interviews with 203 stakeholders, ",
37,pubmed,Suggested Improvements to the Current East African Community Medicines Regulatory Harmonization Joint Review Process and a Proposed New Review Model for this Initiative.,2025,Pharmaceutical medicine,10.1007/s40290-025-00554-1,40038207,"In 2012, the East African Community Medicines Regulatory Harmonization (EAC-MRH) initiative was established to improve access to safe, effective, and high-quality medical products to patients in the East African region. The East African Community (EAC) Partner States, the Republic of Burundi, Democratic Republic of Congo, Republic of Rwanda, United Republic of Tanzania, Republic of Kenya, Republic of South Sudan, and the Republic of Uganda, have a population of 290 million inhabitants. The timely access to medical products for this population was to be achieved through harmonisation of regulat",
38,pubmed,Comparison of good review practices of seven countries participating in the ECOWAS medicines regulatory harmonisation initiative: identifying opportunities for improvement.,2025,Frontiers in medicine,10.3389/fmed.2024.1520892,39867926,"When implemented by national and regional regulatory agencies good review practices (GRevPs) support the timely high-quality review of medicines for enhanced patients' availability to safe, quality and efficacious innovative and generic products. It is important that all aspects of GRevPs are continuously evaluated and updated to promote the continuous improvement of regulatory systems at national and regional levels. The aim of this study was to assess and compare the GRevPs of the national medicines regulatory agencies (NMRAs) of Burkina Faso, Cote d'Ivoire, Ghana, Nigeria, Senegal, Sierra L",
39,pubmed,The 30-year evolution of oral cholera vaccines: A case study of a collaborative network alternative innovation model.,2025,PLOS global public health,10.1371/journal.pgph.0003599,39823395,"Cholera outbreaks have been rapidly increasing around the world. While long-term cholera prevention and control measures rely on improvements in water, sanitation, and hygiene, oral cholera vaccines (OCVs) are used for prevention and control in the short-to-medium term. OCVs lack the market incentives available in other more profitable disease areas. The development of OCVs was made possible through an alternative innovation model, which sustained innovation across multiple generations of the product for more than three decades. To examine how this alternative innovation model worked, we condu",
40,pubmed,Active vaccine safety surveillance in low- and middle-income countries: Challenges for vaccine manufacturers from emerging countries.,2025,Vaccine,10.1016/j.vaccine.2025.126727,39813974,"Developing Countries Vaccine Manufacturers Network (DCVMN) is an alliance of vaccine developers, manufacturers, and marketing authorization holders (MAHs) from low- and middle-income countries (LMICs) that plays a vital role in ensuring equitable, inclusive, accountable, and timely access to affordable, high-quality vaccines in these countries. Besides research and development, this network promotes manufacturing and global supply chains for effective strengthening of regulatory and pharmacovigilance activities. Traditionally, vaccine safety surveillance systems in LMICs rely on spontaneous re",
41,pubmed,Evaluation of the Regulatory Review Process of the Zambia Medicines Regulatory Authority: Challenges and Opportunities.,2025,Therapeutic innovation & regulatory science,10.1007/s43441-024-00730-6,39729229,"This study aimed to assess the current regulatory review process of the Zambia Medicines Regulatory Authority (ZAMRA) by identifying the key milestones and target timelines achieved for products approved from 2020 to 2023, as well as good review and quality decision-making practices implemented in the review process. A standardised, validated questionnaire; Optimising Efficiencies in Regulatory Agencies (OpERA) and the OpERA Data Collection Template were completed by the author. Three review models are used by ZAMRA to review new active substances (NASs) and generic products: verification, for",
42,pubmed,"Borrowing regulatory capacity in middle-income countries during public health crises: Brazil, regulatory reliance, and the politics of COVD-19 vaccine regulation.",2025,Social science & medicine (1982),10.1016/j.socscimed.2024.117563,39705755,"The COVID-19 pandemic underscored the critical role of states' regulatory capacities. Countries had to authorize novel vaccine technologies in the context of scientific uncertainty and political pressure, issues particularly acute in middle-income countries (MICs) less familiar with the procedures needed to streamline regulatory processes during a crisis. How did regulatory agencies in countries still building their regulatory capacities expedite the authorization of new COVID-19 vaccines to combat the pandemic? How did they navigate political pressures to expedite vaccine approval while maint",
43,pubmed,Case studies of health economic analyses informing pharmaceutical health technology assessments for essential medicine selection and public-sector guidelines in South Africa.,2024,International journal of technology assessment in health care,10.1017/S0266462324000448,39663916,"Constrained resources under universal health coverage (UHC) necessitate a balance between medication costs and essential health system requirements. Policymakers practice priority-setting, as either implicit or explicit rationing, embedded in evidence-informed decision-making processes to guide funding decisions. Health technology assessment (HTA) is a method that may assist explicit evidence-informed priority setting. South Africa developed an official HTA methods guide in 2022, however before this, commissioning and performing economic evaluations was not standardized. We conducted a descrip",
44,pubmed,REASSURED evaluation of the Bioline HCV point-of-care testing for diagnosing hepatitis C virus infection in primary healthcare settings of Ghana: a study protocol.,2024,BMJ open,10.1136/bmjopen-2023-082416,39521466,"Hepatitis C virus (HCV) infection is a silent epidemic that needs a comprehensive and contextualised approach to manage. Access to readily available, affordable and acceptable HCV point-of-care (POC) in vitro diagnostics (IVDs) is equally required to meet the global HCV goals. However, most guidelines for evaluating these IVDs such as the WHO prequalification process and country-specific standards disproportionately focus on diagnostic performance. The real-time connectivity, ease of specimen collection, affordability, sensitivity, specificity, user-friendliness, rapidity and robustness, equip",
45,pubmed,Barriers to WHO prequalification of similar biotherapeutic insulin.,2024,Bulletin of the World Health Organization,10.2471/BLT.24.291804,39464844,"To identify the barriers preventing manufacturers of similar biotherapeutic human insulin from submitting their products to the World Health Organization (WHO) for prequalification. We used a self-administered questionnaire to collect data from companies producing similar biotherapeutic human insulin. We included questions about the insulin products manufactured, knowledge of WHO prequalification requirements, export of the products and compliance with good manufacturing practices. Companies had the possibility to provide additional relevant information. We sent the questionnaire to 20 manufac",
46,pubmed,Leveraging HIV self-testing to achieve the UNAIDS 2025 targets in the South and Southeast Asia region.,2024,Journal of the International AIDS Society,10.1002/jia2.26357,39397317,"The South and Southeast Asia region has the second-highest number of people living with HIV globally. Despite progress in reducing HIV incidence and AIDS-related deaths, the region still has a long way to go in achieving the Joint United Nations Programme on HIV and AIDS (UNAIDS) 95-95-95 HIV testing, treatment and viral suppression targets. HIV self-testing (HIVST) is recommended by the World Health Organization as an additional approach to HIV testing. This paper provides a commentary on the implementation status, benefits, barriers and recommendations for HIVST implementation in South and S",
47,pubmed,WHO-listed authorities (WLA) framework: transparent evidence-based approach for promoting regulatory reliance towards increased access to quality-assured medical products.,2025,Frontiers in medicine,10.3389/fmed.2024.1467229,39376648,"Increased global access to safe, effective and quality-assured medical products remains a primary goal for the full realization of the World Health Assembly Resolution WHA 67.20 on regulatory systems strengthening for medical products as well as target 3.8 of the Sustainable Development Goals (SDG). To promote the development of efficient regulatory systems, the WHO introduced the Global Benchmarking Tool (GBT) in 2016, upon which the WHO-Listed Authority (WLA) framework was later established. This study aimed to appraise the development of the WLA framework across various phases while highlig",
48,pubmed,Evaluation of the review models and approval timelines of authorities participating in the East African Medicine Regulatory Harmonisation initiative: alignment and strategies for moving forward.,2024,Frontiers in medicine,10.3389/fmed.2024.1438041,39355848,"Medicines regulatory harmonisation has been embraced by many national regulatory authorities (NRAs) to improve public health through faster availability of safe, high-quality, and effective medical products to patients and enhanced standardisation of technical guidelines and work sharing, leading to reduced cost to pharmaceutical companies. After ten years of implementing regulatory harmonisation by the East African Community Medicines Registration Harmonization (EAC-MRH) initiative, it is now imperative for participating NRAs to rely on each other to minimise duplication of use of limited res",
49,pubmed,Access in all areas? A round up of developments in market access and HTA: part 5.,2024,Journal of comparative effectiveness research,10.57264/cer-2024-0179,39351904,"In this latest update, we explore the recent announcement by Canada's Drug Agency (CDA-AMC, formerly CADTH) on their pilot to include the societal perspective in the evaluation of certain new medicines; a recent Office of Health Economics (OHE) report on the evaluation of HTA agency methods over time; and publications examining the impact of Project Orbis on patient access to oncology treatments.",
50,pubmed,The challenges of regulatory pluralism.,2024,"Health policy (Amsterdam, Netherlands)",10.1016/j.healthpol.2024.105164,39305586,"Countries with small and/or less-resourced regulatory authorities that operate outside of a larger medical product regulatory system face a regulatory strategy dilemma. These countries may rely on foreign well-resourced regulators by recognising the regulatory decisions of large systems and following suit (regulatory reliance); alternatively, such countries may extend formal decision recognition to regulators in multiple other jurisdictions with similar oversight and public health goals, following a system which we call regulatory pluralism. In this policy comment, we discuss three potential l",
51,pubmed,Evaluation of good review practices in member authorities of the East African Medicines Regulatory Harmonisation initiative: strategies for alignment with African medicines agency.,2024,Frontiers in medicine,10.3389/fmed.2024.1437970,39267958,"The East African Community Medicines Regulatory Harmonisation (EAC-MRH) programme was established to address challenges faced by national regulatory authorities (NRAs) of the region. Work sharing through joint assessments and inspections was adopted to manage limited resources and capacity; however, NRA good review practices (GrevP) are also a key determinant to success. This study evaluated GReVP among the EAC-MRH NRAs and mapped required strategies for countries to align themselves with the African Medicines Agency (AMA). A validated questionnaire (Optimising Efficiency in Regulatory Agency-",
