rank,cluster,citations,access_lens,year,journal,title,abstract_snippet,doi
13,C3_HealthSystems_Financing,72,1,2021,BMJ global health,The WHO Global Benchmarking Tool: a game changer for strengthening national regulatory capacity.,"Many low-income and middle-income countries lack the capacity to effectively and efficiently regulate medical products in their countries. To support countries in strengthening their capacity, WHO has developed the Global Benchmarking Tool (GBT) as the global standard for objectively assessing regulatory capacity for medicines and vaccines. The GBT is a game changer because it is the first globally accepted tool for assessing and strengthening national regulatory authorities. The inclusion of an institutional development plan in the GBT methodology provides context-specific actionable steps co",10.1136/bmjgh-2020-003181
14,Unclear,72,1,2020,Journal of the International AIDS Society,The Self-Testing AfRica (STAR) Initiative: accelerating global access and scale-up of HIV self-testing.,"HIV self-testing (HIVST) was first proposed as an additional option to standard HIV testing services in the 1980s. By 2015, two years after the first HIVST kit was approved for the American market and the year in which Unitaid invested in the ""HIV Self-Testing AfRica (STAR) Initiative,"" HIVST remained unexplored with negligible access in low- and middle-income countries (LMIC). However, rapid progress had been made. This commentary outlines the interlinked market, regulatory and policy barriers that had inhibited product development and kept HIVST out of LMIC policy. We detail the components o",10.1002/jia2.25249
15,C1_Access_Equity_LMIC,67,1,2016,Vaccine,"A randomized, non-inferiority trial comparing two bivalent killed, whole cell, oral cholera vaccines (Euvichol vs Shanch","Currently, there are two oral cholera vaccines (OCV) that are prequalified by the World Health Organization. Both (Dukoral and Shanchol) have been proven to be safe, immunogenic, and effective. As the global supply of OCV remains limited, we assessed the safety and immunogenicity of a new low cost, killed, bivalent OCV (Euvichol) in the Philippines. The randomized controlled trial was carried out in healthy Filipino adults and children. Two doses of either the current WHO prequalified OCV (Shanchol) or the same composition OCV being considered for WHO prequalification (Euvichol) were administe",10.1016/j.vaccine.2015.08.075
16,Unclear,66,1,2011,Globalization and health,Intervening in global markets to improve access to HIV/AIDS treatment: an analysis of international policies and the dyn,"Universal access to antiretroviral therapy (ART) in low- and middle-income countries faces numerous challenges: increasing numbers of people needing ART, new guidelines recommending more expensive antiretroviral (ARV) medicines, limited financing, and few fixed-dose combination (FDC) products. Global initiatives aim to promote efficient global ARV markets, yet little is known about market dynamics and the impact of global policy interventions. We utilize several data sources, including 12,958 donor-funded, adult first-line ARV purchase transactions, to describe the market from 2002-2008. We ex",10.1186/1744-8603-6-9
17,C1_Access_Equity_LMIC,60,1,2021,"The Journal of law, medicine & ethics : a journal of the American Society of Law, Medicine & Ethics",A Market Shaping Approach for the Biopharmaceutical Industry: Governing Innovation Towards the Public Interest.,"Enhancing research and development and ensuring equitable pricing and access to cutting-edge treatments are both vital to a biopharmaceutical innovation system that works in the public interest. However, despite delivering numerous therapeutic advances, the existing system suffers from major problems: a lack of directionality to meet key needs, inefficient collaboration, high prices that fail to reflect the public contribution, and an overly-financialized business model.",10.1017/jme.2021.8
18,C2_Vaccine_Quality,59,1,2015,Vaccine,Twenty-five years of the WHO vaccines prequalification programme (1987-2012): lessons learned and future perspectives.,"The World Health Organization (WHO) vaccines prequalification programme was established in 1987. It is a service provided to United Nations procurement agencies to ensure that the vaccines supplied through these agencies are consistently safe and effective under conditions of use in national immunization programmes. This review describes the purpose and aims of the programme, its evolution during 25 years of existence, its added value, and its role in the context of the WHO strategy to ensure the global availability of vaccines of assured quality. The rationale for changes introduced during th",10.1016/j.vaccine.2013.11.066
19,Unclear,58,1,2020,PloS one,Systematic review of the performance and clinical utility of point of care HIV-1 RNA testing for diagnosis and care.,"Point of-care (POC) HIV-1 RNA tests which are accurate and easy to use with limited infrastructure are needed in resource-limited settings (RLS). We systematically reviewed evidence of POC test performance compared to laboratory-based HIV-1 RNA assays and the potential utility of these tests for diagnosis and care in RLS. Studies published up to July 2018 were identified by a search of PUBMED, EMBASE, Web of Science, CINAHL and Cochrane Central Register of Controlled Trials. Studies evaluating the use of POC HIV-1 RNA testing for early infant diagnosis (EID), acute HIV infection (AHI) diagnosi",10.1371/journal.pone.0218369
20,Unclear,57,1,2017,MMWR. Morbidity and mortality weekly report,"Status of New Vaccine Introduction - Worldwide, September 2016.","Since the global Expanded Program on Immunization (EPI) was launched in 1974, vaccination against six diseases (tuberculosis, polio, diphtheria, tetanus, pertussis, and measles) has prevented millions of deaths and disabilities (1). Significant advances have been made in the development and introduction of vaccines, and licensed vaccines are now available to prevent 25 diseases (2,3). Historically, new vaccines only became available in low-income and middle-income countries decades after being introduced in high-income countries. However, with the support of global partners, including the Worl",10.15585/mmwr.mm6541a3
21,C2_Vaccine_Quality,56,1,2021,Biologicals : journal of the International Association of Biological Standardization,"Animal testing for vaccines. Implementing replacement, reduction and refinement: challenges and priorities.","Transition to in vitro alternative methods from in vivo in vaccine release testing and characterization, the implementation of the consistency approach, and a drive towards international harmonization of regulatory requirements are most pressing needs in the field of vaccines. It is critical for global vaccine community to work together to secure effective progress towards animal welfare and to ensure that vaccines of ever higher quality can reach the populations in need in the shortest possible timeframe. Advancements in the field, case studies, and experiences from Low and Middle Income Coun",10.1016/j.biologicals.2020.07.010
22,Unclear,55,1,2011,Vaccine,Lessons from pandemic influenza A(H1N1): the research-based vaccine industry's perspective.,"As A(H1N1) influenza enters the post-pandemic phase, health authorities around the world are reviewing the response to the pandemic. To ensure this process enhances future preparations, it is essential that perspectives are included from all relevant stakeholders, including vaccine manufacturers. This paper outlines the contribution of R&D-based influenza vaccine producers to the pandemic response, and explores lessons that can be learned to improve future preparedness. The emergence of 2009 A(H1N1) influenza led to unprecedented collaboration between global health authorities, scientists and ",10.1016/j.vaccine.2010.11.042
23,C2_Vaccine_Quality,54,1,2017,Vaccine,Innovations in cold chain equipment for immunization supply chains.,"Since 2010, numerous new technologies have entered the immunization cold chain equipment market. The World Health Organization (WHO) Immunization Devices Programme-Performance, Quality and Safety (PQS)-has played a key role in bringing these to market. In this article, the authors explore the emergence of new cold chain equipment technologies from 2004 to 2016 and the role of PQS in this evolution. This review focuses on three major vaccine cold chain technology innovations-solar direct-drive refrigerators, long-term passive cold boxes, and equipment with user-independent freeze prevention. Fo",10.1016/j.vaccine.2016.11.094
24,C3_HealthSystems_Financing,50,1,2021,BMJ global health,"Initial success from a public health approach to hepatitis C testing, treatment and cure in seven countries: the road to","With political will, modest financial investment and effective technical assistance, public sector hepatitis C virus (HCV) programmes can be established in low- and middle-income countries as a first step towards elimination. Seven countries, with support from the Clinton Health Access Initiative (CHAI) and partners, have expanded access to HCV treatment by combining programme simplification with market shaping to reduce commodity prices. CHAI has supported a multipronged approach to HCV programme launch in Cambodia, India, Indonesia, Myanmar, Nigeria, Rwanda and Vietnam including pricing nego",10.1136/bmjgh-2020-003767
25,Unclear,49,1,2004,Psychotherapy and psychosomatics,Escitalopram: superior to citalopram or a chiral chimera?,"Escitalopram is the active isomer of the antidepressant citalopram. In theory single-isomer drugs may be superior but few have been found to have clinically significant advantages. The manufacturer claims that escitalopram has more efficacy and a faster onset of effect than citalopram. The purpose of this study was to assess how far these claims are justified. Relevant trial reports were requested from H. Lundbeck A/S and the Swedish drug regulatory authority. The trials consisted of a pooled analysis of 1,321 patients from one unpublished, one partly published and one published eight-week tri",10.1159/000074435
26,Unclear,48,1,2017,The Lancet. Global health,The UN Commission on Life Saving Commodities 3 years on: global progress update and results of a multicountry assessment,"In September, 2012, the UN Commission on Life Saving Commodities (UNCoLSC) outlined a plan to expand availability and access to 13 life saving commodities. We profile global and country progress against these recommendations between 2012 and 2015. For 12 countries in sub-Saharan Africa that were off-track to achieve the Millennium Development Goals for maternal and child survival, we reviewed key documents and reference data, and conducted interviews with ministry staff and partners to assess the status of the UNCoLSC recommendations. The RMNCH fund provided short-term catalytic financing to s",10.1016/S2214-109X(16)00046-2
27,Unclear,46,1,2020,PloS one,Industrial perceptions of medicines regulatory harmonization in the East African Community.,"Medicines regulatory harmonization has been recommended as one way to improve access to quality-assured medicines in low- and middle-income countries. The rationale is that by lowering barriers to entry more manufacturers will be enticed to enter the market, while the capacity at the national medicines regulatory authorities is strengthened. The African Medicines Regulatory Harmonization Initiative, agreed in 2009, is developing regional platforms with harmonized regulatory procedures for the registration of medicines. The first region to implement medicines regulatory harmonization was the Ea",10.1371/journal.pone.0218617
28,C1_Access_Equity_LMIC,46,1,2014,Tropical medicine & international health : TM & IH,Registering medicines for low-income countries: how suitable are the stringent review procedures of the World Health Org,"New medicines are registered after a resource-demanding process. Unfortunately, in low-income countries (LICs), demand outweighs resources. To facilitate registration in LICs, stringent review procedures of the European Medicines Agency (EMA Article-58), Food and Drug Administration (FDA PEPFAR-linked review) and WHO Prequalification programme have been established. Only the PEPFAR-linked review gives approval, while the others make recommendations for approval. This study assessed the performance and discussed the challenges of these three stringent review procedures. Data from WHO, FDA, EMA,",10.1111/tmi.12201
29,Unclear,43,1,2012,Seminars in liver disease,Challenges and priorities in the management of HIV/HBV and HIV/HCV coinfection in resource-limited settings.,"Liver disease due to chronic hepatitis B virus (HBV) and hepatitis C virus (HCV) infection is now emerging as an increasing cause of morbidity and mortality in human immunodeficiency virus- (HIV-) infected persons in resource-limited settings (RLS). Existing management guidelines have generally focused on care in tertiary level facilities in developed countries. Less than half of low-income countries have guidance, and in those that do, there are important omissions or disparities in recommendations. There are multiple challenges to delivery of effective hepatitis care in RLS, but the most imp",10.1055/s-0032-1316476
30,C3_HealthSystems_Financing,42,1,2025,"Diagnostics (Basel, Switzerland)","Advances in Point-of-Care Infectious Disease Diagnostics: Integration of Technologies, Validation, Artificial Intelligen","Point-of-care (POC) infectious disease diagnostics are reshaping global health by delivering rapid, decentralized, and clinically actionable results that link bedside testing to population-level surveillance. Valued at approximately USD 53 billion in 2024 and projected to nearly double by 2033, the global POC diagnostics market is driven by infectious disease assays and accelerated by innovations in molecular amplification, biosensors, microfluidics, and artificial intelligence (AI). This review integrates current evidence across technological, clinical, regulatory, and public health domains. ",10.3390/diagnostics15222845
31,C2_Vaccine_Quality,42,1,2017,Human vaccines & immunotherapeutics,Achievements and challenges for the use of killed oral cholera vaccines in the global stockpile era.,"Cholera remains an important but neglected public health threat, affecting the health of the poorest populations and imposing substantial costs on public health systems. Cholera can be eliminated where access to clean water, sanitation, and satisfactory hygiene practices are sustained, but major improvements in infrastructure continue to be a distant goal. New developments and trends of cholera disease burden, the creation of affordable oral cholera vaccines (OCVs) for use in developing countries, as well as recent evidence of vaccination impact has created an increased demand for cholera vacc",10.1080/21645515.2016.1245250
32,Unclear,41,1,2025,Signal transduction and targeted therapy,Current landscape of innovative drug development and regulatory support in China.,"The global pharmaceutical landscape remains dynamic and competitive, shaped by advancements in first-in-class therapies and breakthrough technologies. The United States has maintained its leadership in first-in-class therapies and breakthrough technologies, driven by advanced regulatory pathways, significant multinational corporation investments, a robust Research and Development (R&D) workforce, and continuous technological innovation. Additionally, global impact of the Food and Drug Administration (FDA) is further amplified through collaborations like Project Orbis, which facilitates simulta",10.1038/s41392-025-02267-y
33,Unclear,40,1,2016,Malaria journal,"An assessment of the supply, programmatic use, and regulatory issues of single low-dose primaquine as a Plasmodium falci","Global ambitions to eliminate malaria are intensifying, underscoring a critical need for transmission blocking tools. In 2012, the WHO recommended the use of 0.25 mg/kg of single low-dose (SLD) primaquine to stop Plasmodium falciparum transmission. To ensure the availability of SLD primaquine to countries in need of this tool, more information on the supply, programmatic, and regulatory barriers to the rollout of SLD primaquine is required. Challenges to the rollout of SLD primaquine in sub-Saharan Africa were established through semi-structured qualitative interviews with three primaquine man",10.1186/s12936-015-0714-3
34,Unclear,37,1,2014,Antiviral research,Lessons from reproductive health to inform multipurpose prevention technologies: don't reinvent the wheel.,This paper presents the public health rationale for multipurpose prevention technologies (MPTs) for sexual and reproductive health (SRH) based on regional trends in demographic and SRH indicators. It then distils important lessons gleaned from the introduction of contraceptive and reproductive health products over the past several decades in order to inform the development and future introduction of MPTs for SRH. A comparison of current demographic and public health regional data clearly revealed that the greatest confluence of women's SRH concerns occurs in sub-Saharan Africa and South/West A,10.1016/j.antiviral.2013.09.019
35,Unclear,35,1,2020,PLoS medicine,Coming together to improve access to medicines: The genesis of the East African Community's Medicines Regulatory Harmoni,Hiiti Sillo and colleagues reveal how the East African Community's Medicines Regulatory Harmonization initiative improves access to important medicines in Africa.,10.1371/journal.pmed.1003133
36,Unclear,35,1,2015,Antiviral therapy,The discovery and development of antiretroviral agents.,"Since the discovery of HIV as the causative agent of AIDS in 1983/1984, remarkable progress has been made in finding antiretroviral drugs (ARVs) that are effective against it. A major breakthrough occurred in 1996 when it was found that triple drug therapy (HAART) could durably suppress viral replication to minimal levels. It was then widely felt, however, that HAART was too expensive and complex for low- and middle-income countries, and so, with the exception of a few of these countries, such as Brazil, a massive scale-up did not begin until the WHO launched its '3 by 5' initiative and sizeab",10.3851/IMP2896
37,Unclear,33,1,2022,The Lancet. Infectious diseases,"Safety and immunogenicity of the Vi-DT typhoid conjugate vaccine in healthy volunteers in Nepal: an observer-blind, acti","Typhoid fever is an endemic disease in many low-income and middle-income countries. The 2018 WHO position paper recommends that countries should consider typhoid vaccination in high-risk groups and for outbreak control. To address the typhoid vaccine supply and demand gap, a typhoid Vi polysaccharide-diphtheria toxoid (Vi-DT) conjugate vaccine development effort was undertaken to achieve WHO prequalification and contribute to the global supply of typhoid conjugate vaccine. The main aim of this study was to show immune non-inferiority of the Vi-DT vaccine compared with the WHO prequalified Vi p",10.1016/S1473-3099(21)00455-2
38,Unclear,33,1,2021,Health affairs (Project Hope),Barriers To US Biosimilar Market Growth: Lessons From Biosimilar Patent Litigation.,"High biologic drug prices have placed substantial strain on the US health care system. The Biologics Price Competition and Innovation Act (BPCIA), passed in 2010 as part of the Affordable Care Act, created an abbreviated approval pathway for biosimilars-versions of ""originator"" biologic drugs made by different manufacturers-to help address this issue. However, a decade after its passage, the BPCIA has spurred only limited competition. We examined the role that litigation has played in this muted success, reviewing all lawsuits related to the BPCIA filed between its enactment and August 1, 2020",10.1377/hlthaff.2020.02484
39,C1_Access_Equity_LMIC,31,1,2022,Expert review of clinical pharmacology,WHO collaborative registration procedure using stringent regulatory authorities' medicine evaluation  reliance in action,"Introduction: The regulatory approval of medical products in countries with limited regulatory resources can be lengthy, which often compromises patients’ timely access to much-needed medicines. To improve the efficiency of regulatory systems, reliance is being used. Reliance allows an authority to leverage the work performed by other authorities, such as scientific evaluations, to decide on medical products approval within their jurisdiction. This reduces duplication of regulatory efforts, resources and time, while maintaining national sovereignty. Areas covered: This article analyzes the out",10.1080/17512433.2022.2037419
40,Unclear,30,1,2023,Parasites & vectors,The pipeline for drugs for control and elimination of neglected tropical diseases: 1. Anti-infective drugs for regulator,"The World Health Organization 'Ending the neglect to attain the Sustainable Development Goals: A road map for neglected tropical diseases 2021-2030' outlines the targets for control and elimination of neglected tropical diseases (NTDs). New drugs are needed to achieve some of them. We are providing an overview of the pipeline for new anti-infective drugs for regulatory registration and steps to effective use for NTD control and elimination. Considering drugs approved for an NTD by at least one stringent regulatory authority: fexinidazole, included in WHO guidelines for Trypanosoma brucei gambi",10.1186/s13071-022-05581-4
