"AU","TI","SO","PY","AB","DE","ID"
"Moustafa Kardjadj","Advances in Point-of-Care Infectious Disease Diagnostics: Integration of Technologies, Validation, Artificial Intelligence, and Regulatory Oversight.","Diagnostics (Basel, Switzerland)",2025,"Point-of-care (POC) infectious disease diagnostics are reshaping global health by delivering rapid, decentralized, and clinically actionable results that link bedside testing to population-level surveillance. Valued at approximately USD 53 billion in 2024 and projected to nearly double by 2033, the global POC diagnostics market is driven by infectious disease assays and accelerated by innovations in molecular amplification, biosensors, microfluidics, and artificial intelligence (AI). This review integrates current evidence across technological, clinical, regulatory, and public health domains. Immunoassays remain the backbone of volume deployment, while molecular nucleic acid amplification tests (NAATs) and emerging CRISPR-based platforms achieve laboratory-grade sensitivity at the point of care. AI has transitioned from an experimental tool to an embedded analytical layer that enhances image interpretation, multiplex signal deconvolution, and automated quality control. Rigorous validation, including analytical accuracy, clinical performance in intended-use settings, and usability testing under CLIA guidance, remains central to ensuring reliability in decentralized environments. Regulatory frameworks are adapting in parallel: FDA's lifecycle oversight of AI-enabled devices, the European IVDR's expanded evidence requirements, and the WHO Prequalification all emphasize continuous post-market surveillance. From a public health perspective, POC diagnostics have improved early case detection, treatment initiation, and outbreak containment for HIV, tuberculosis, malaria, influenza, RSV, and COVID-19. Yet persistent challenges (including limited harmonization of standards, uneven reimbursement, and scarce real-world data from low- and middle-income countries) continue to constrain equitable adoption. POC infectious disease diagnostics are thus entering a pivotal phase of digitization and regulatory maturity. Addressing remaining gaps in validation, lifecycle monitoring, and implementation equity will determine whether these technologies achieve their full promise as clinical accelerators and as cornerstones of global infectious disease preparedness.","CLIA waiver; CRISPR-based diagnostics; analytical and clinical validation; antimicrobial stewardship; artificial intelligence; biosensors; digital surveillance; global health; immunoassays; infectious diseases; machine learning; microfluidics; molecular diagnostics; point-of-care diagnostics; post-market surveillance; public health impact; regulatory frameworks","10.3390/diagnostics15222845"
"Katrina Perehudoff; Pramiti Parwani; Seraphine Bruinsma","Advancing vaccines justice through international regulatory pathways.","Global public health",2025,"Vaccines are essential for preventing infectious diseases and promoting population health; however, equitable global access to vaccines remains elusive. Regulatory approval of vaccines is a critical step on the path towards global vaccines justice, yet the resources required can impede timely decision making. Regulatory reliance, where authorities use other agencies' assessments of new vaccines to make local decisions about their benefit-risk profile, can expedite regulatory decision making. In this Commentary, we apply a critical lens inspired by 'Third World Approaches to International Law' to vaccine justice that challenges the dominant narratives in international pharmaceutical regulatory policy from the perspective of historically marginalised LMICs. This Commentary's main contribution is to illustrate how modern trends in regulatory reliance - namely South-South reliance and reliance on opinions by the European Medicines Agency about medicinal products for global health (rather than evaluations of medicines destined for the European Union market) - are embracing 'third world approaches' to vaccines justice. Strengthening capacity through international regulatory pathways can help alleviate bottlenecks in the approval of vaccines that have already been deemed safe, effective, and quality-assured by qualified regulators, thereby streamlining registration processes and accelerating global access, particularly in an emergency situation.","Access to medicines; global health; pharmaceutical regulation; reliance; vaccines","10.1080/17441692.2025.2566730"
"Elvin Irihamye; Justin Hadad; Natasha Ali; Bruno Holthof; Francis Wafula; Chris Paton; Mike English; Shobhana Nagraj","Sustainable by Design: Digital Health Business Models for Equitable Global Health Impact in Low-Income and Low-Middle-Income Countries.","Mayo Clinic proceedings. Digital health",2025,"This study explores challenges and potential strategies related to sustaining digital health business models and markets in low-income and low-middle-income countries using a critical interpretive synthesis approach. We extracted 21 articles from a database search that yielded over 1300 hits and used insights from 7 expert reviewers with experience operating or funding digital health companies in low-middle -income countries. Findings reveal 4 key challenges: (1) internal challenges related to managing value creation for complex stakeholder networks and external challenges related to (2) infrastructure, (3) financing, and (4) regulation. Entrepreneurs must address these through iterative business strategies, but broader market-shaping interventions remain essential. Such interventions could include facilitating strategic partnerships, fit-for-purpose regulation, enhancing public procurement, and innovative financing instruments. Health systems can tailor interventions around their unique contexts by prioritizing technologies, recruiting local market participants, analyzing shared barriers in the business environment, focusing on feasible interventions, and iterating to sustain a competitive environment.","","10.1016/j.mcpdig.2025.100261"
"Nahoko Shindo; Anne Huvos; Tim Nguyen","Evolution of WHO Influenza Antiviral Stockpile: Rapid Access and Use in Low- and Middle-Income Countries for Pandemic Preparedness and Response.","The Journal of infectious diseases",2025,"The SARS outbreak and influenza A(H5N1) infections (2003-2004) prompted WHO to establish a global influenza antiviral stockpile, enabling rapid distribution to 72 countries during the 2009 A(H1N1) pandemic. To improve access in low- and middle-income countries, WHO added antivirals to the WHO Model List of Essential Medicines and included them in the Prequalification Programme. The 2011 Pandemic Influenza Preparedness Framework refined strategies for equitable access and rapid response. Lessons from COVID-19 led to a new WHO-led mechanism-the Interim Medical Countermeasures Network (i-MCM-net)-which supports integrated supply chains, real-time data sharing, research and development, and equitable access. WHO continues to emphasise equity and global solidarity, highlighting the need for accessible, effective, and affordable antivirals alongside vaccines to protect vulnerable populations and mitigate the impact of future pandemics.","WHO essential medicines & prequalification; antiviral stockpile strategy; equitable access in LMIC; influenza pandemic preparedness; medical counternmeasures network (i-MCM-net)","10.1093/infdis/jiaf379"
"Alex Emilio Fischer; Samanta Tresha Lalla-Edward; Vinodh Edward; Musaed Abrahams; Luke Shankland; John de Wit","Should Digital Interventions for HIV Self-Testing Be Regulated with World Health Organization Prequalification?","JMIR mHealth and uHealth",2025,"HIV self-testing (HIVST) allows people to test for HIV outside traditional health facilities, but this presents challenges around pre- and posttest counseling, reporting results, and linking to care. Digital interventions for HIVST, a type of Software as a Medical Device (SaMD), have been shown to address these challenges, but there is currently no standardized system for regulating or approving these interventions. The World Health Organization Prequalification Program (WHOPQ) is an international regulatory body that approves vaccines, medications, and in vitro diagnostics (IVDs) for low- and middle-income countries that do not have the capacity to do their own approvals. This paper explores whether WHOPQ could be used to prequalify digital interventions for HIVST. Over half the World Health Organization (WHO) member states have national regulatory bodies for medical devices, but low- and middle-income countries, especially in Africa, do not have the capacity to regulate medical devices, let alone SaMD. This gap parallels the gap in vaccine regulation that initially led to the development of WHOPQ, and while sophisticated artificial intelligence (AI)-enabled SaMD are being developed, digital interventions for HIVST could be used as a low-risk test case for prequalification of SaMD. The WHOPQ already has a strong history with HIV; over half the WHOPQ funding is from HIV-related funders and half of all prequalified medicines and IVDs are for treatment and diagnosis of HIV; however, only 2% are manufactured in Africa. If digital interventions for HIVST become prequalified, this could improve interoperability and ensure quality, accelerating their adoption at scale. However, care must be taken to remove barriers for African developers and ensure that prequalification does not delay access to people testing for HIV.","Africa; HIV self-screening; HIV testing; LMIC; Software as a Medical Device; WHO; World Health Organization; accessibility; digital health; low- and middle-income countries; vaccination; vaccine regulation","10.2196/60276"
"Pramiti Parwani; Katrina Perehudoff; Anniek de Ruijter","Trust Beyond Borders: European External Regulatory Influence on Access to Medicines.","The Journal of law, medicine & ethics : a journal of the American Society of Law, Medicine & Ethics",2025,"European institutions are widely recognized as wielding regulatory power in a globalized market, exporting its standards across borders and between sectors. This paper asks what institutional dynamics catalyze European external regulatory impact on pharmaceutical governance in low- and middle-income countries (LMICs). The research focuses on two European regulatory bodies, the European Medicines Agency (EMA) and the European Patent Office (EPO), and explores the dynamics of their technocratic outreach beyond European borders. We find that trust is a key underlying institutional dynamic facilitating some forms of European external relations. The agencies extend their influence through technical assistance, collaboration, and work-sharing with LMIC regulators, fostering a one-sided relationship of ""technocratic trust."" This trust, reinforced by international regulatory frameworks that position the EMA and EPO as ""trustworthy"" regulators, enables these agencies to expand their regulatory influence beyond Europe. By critically examining the impact of this trust-building on LMICs' regulatory autonomy, this research contributes to the broader discourse on European regulatory power in global health governance and highlights potential implications for pharmaceutical markets and access in LMICs.","European Medicines Agency (EMA); European Patent Office (EPO); European Regulatory Bodies; Pharmaceuticals Access; Trust","10.1017/jme.2025.10140"
"Sarfaraz K Niazi","Bridging the Regulatory Divide: A Dual-Pathway Framework Using SRA Approvals and AI Evaluation to Ensure Drug Quality in Developing Countries.","Pharmaceuticals (Basel, Switzerland)",2025,"","SRA reliance; artificial intelligence; developing countries; drug quality; pharmaceutical regulation; quality assurance; regulatory harmonization","10.3390/ph18071024"
"Razieh Ostad Ali Dehaghi; Alireza Khadem Broojerdi; Alaa Magdy; Marie Valentin; Juliati Dahlan; Obaidullah Malik; Richard H Siggers; Edwin Nkansah; Hiiti B Sillo","Strengthening Vaccine Regulation: Insights from COVID-19 Vaccines, Best Practices, and Lessons for Future Public Health Emergencies.","Vaccines",2025,"","COVID-19 vaccine; Emergency Use Authorization (EUA); Emergency Use Listing (EUL); global health governance; regulatory preparedness; regulatory reliance; regulatory system; vaccines approval","10.3390/vaccines13060638"
"S Dube-Mwedzi; F Suleman","Evaluation of the implementation and the associated operating costs of a medicine regulatory harmonisation model in Africa: the case of ZaZiBoNa, a SADC work-sharing initiative.","Journal of pharmaceutical policy and practice",2025,"To improve the access to and affordability of medicines, countries in the Southern African Development Community (SADC) established ZaZiBoNa, a medicine regulatory harmonisation initiative. Studies have evaluated the initiative's technical and operational efficiencies and effectiveness. This study evaluated ZaZiBoNa from project implementation and cost perspectives, at the 5-year mark, to establish a business case for further investment. A quantitative and desk review were undertaken. Two surveys, one with 7 National Regulatory Authorities (NRAs) that participated in the initiative in the initial 5 years were conducted and the other with 40 pharmaceutical companies who submitted applications in the same period were recruited to share their perceived experiences and expectations with the collaborative initiative. All 7 NRAs agreed the initiative had generally achieved its objectives and participation was beneficiary. As of June 2022, the 7 NRAs had registered 152 of the 235 (64.7%) products assessed during the study period, with a median time from joint assessment recommendations to registration of 7 months, against a target of 3 months (range: 4 to 14 months). Of the industry respondents ( The study also highlighted that implementation of initiatives could take time and that some goals can only be achieved in the medium to long term. This is a lesson for other collaboration initiatives in Africa, such as the African Medicines Agency.","SADC; ZaZiBoNa; collaborative initiatives; cost; efficiency; medicines regulatory harmonisation; regulation","10.1080/20523211.2025.2490565"
"Eba Ajima; Chukwunonso Nwaokorie; Naanma Kangkum; Lola Ameyan; Obruche Sophia Ogefere; Eric Aigbogun; Valentine Amasiatu; Uchenna Igbokwe","Establishing Sustainable Access to Quality Uterotonics in Kano, Lagos and Niger States-A Supply Chain Perspective.","The International journal of health planning and management",2025,"The quality of oxytocin and misoprostol, the most widely used uterotonics for postpartum haemorrhage (PPH) management, suffer supply chain challenges and climactic susceptibilities. To describe a supply chain strengthening programme for introducing heat-stable Carbetocin (HSC), to health facilities in Kano, Lagos and Niger states. Human-centred design (HCD) was employed to uncover uterotonics supply chain challenges and to identify priority interventions across a market-shaping value chain to facilitate the rollout of HSC. Through a mixed-methods approach and interviews with 203 stakeholders, challenges in the uterotonics supply chain and potential solutions were identified. A market-shaping value chain was employed to map HSC introduction and rollout, focusing on key interventions. Before the project initiation, we established clear objectives including identifying barriers, introduction and rollout journey mapping of HSC. Using HCD, HSC was successfully rolled out to over 87 health facilities. Employing the market-shaping value chain, pivotal interventions were executed. These included policy updates (inclusion of HSC in the National and States Essential Medicines List), regulatory actions (registering Carbetocin with NAFDAC), financing strategies (co-developing state roadmaps for sustainable procurements), supply management (reducing stock-outs) and healthcare provider training on supply chain management practices. These efforts facilitated seamless integration of HSC into the states' supply chains. HCD and market-shaping value chain approach were employed to introduce HSC in Nigeria. This study shows that integrating these approaches can enhance the availability and accessibility of essential medicines, offering potential replicability in similar health systems.","heat‐stable Carbetocin; human‐centred design; market‐shaping; postpartum haemorrhage","10.1002/hpm.3910"
"Patricia Mouta Nunes de Oliveira; Katharina Hartmann; Chetanraj Bhamare; Maria Beatriz Bastos Lucchesi; DCVMN PV Working Group","Active vaccine safety surveillance in low- and middle-income countries: Challenges for vaccine manufacturers from emerging countries.","Vaccine",2025,"Developing Countries Vaccine Manufacturers Network (DCVMN) is an alliance of vaccine developers, manufacturers, and marketing authorization holders (MAHs) from low- and middle-income countries (LMICs) that plays a vital role in ensuring equitable, inclusive, accountable, and timely access to affordable, high-quality vaccines in these countries. Besides research and development, this network promotes manufacturing and global supply chains for effective strengthening of regulatory and pharmacovigilance activities. Traditionally, vaccine safety surveillance systems in LMICs rely on spontaneous reporting. However, especially in resource-limited settings, robust passive surveillance is lacking, and active vaccine safety surveillance (AVSS) can complement passive surveillance by actively collecting adverse events at sentinel sites or via formally designed observational (non-interventional) studies. The rapid introduction of novel vaccines during the COVID-19 pandemic with rather limited safety information at deployment accelerated the need for comprehensive AVSS in LMICs to detect potential safety concerns that may not have been identified in pre-licensure trials. In this context, national regulatory agencies (NRAs) and the World Health Organization (WHO) prequalification team requested risk management plans (RMPs) in line with Pharmacovigilance Planning guideline. The submitted RMPs contained the companies' commitments to pharmacovigilance activities encompassing both post-approval routine surveillance (passive) and additional active surveillance activities. These AVSS activities were either committed voluntarily by the manufacturers/MAHs or imposed by the NRA/WHO prequalification in case of important identified or potential risks, or important missing information. Unlike passive surveillance, AVSS relies on various epidemiological methodologies that require resources and expertise. DCVMN initiated a ""learn-by-doing"" project to support manufacturers/MAHs in performing AVSS. This project focused on improving the understanding of AVSS and its tools, investigated the support needs, opportunities, challenges, and barriers to performing AVSS activities in LMICs, and proposed solutions that could be used to mitigate the main challenges in performing AVSS activities in these countries.","Guidance; Infectious disease; Low- and middle-income countries; Pharmacovigilance; Safety; Vaccination","10.1016/j.vaccine.2025.126727"
"Elize Massard da Fonseca; Herschel S Nachlis; Kyle Thomson; Holly Jarman","Borrowing regulatory capacity in middle-income countries during public health crises: Brazil, regulatory reliance, and the politics of COVD-19 vaccine regulation.","Social science & medicine (1982)",2025,"The COVID-19 pandemic underscored the critical role of states' regulatory capacities. Countries had to authorize novel vaccine technologies in the context of scientific uncertainty and political pressure, issues particularly acute in middle-income countries (MICs) less familiar with the procedures needed to streamline regulatory processes during a crisis. How did regulatory agencies in countries still building their regulatory capacities expedite the authorization of new COVID-19 vaccines to combat the pandemic? How did they navigate political pressures to expedite vaccine approval while maintaining safety and efficacy standards? We explore these questions through the case of Brazil, which has one of Latin America's most highly-regarded regulatory authorities, but was subject to acute political conflicts. In response to these tensions, the Brazilian National Health Surveillance Agency (Anvisa) leveraged ""regulatory reliance"" to expedite the authorization of COVID-19 vaccines. Regulatory reliance, the practice of relying on the decisions and procedures of external advanced regulatory agencies, allowed Anvisa to bolster its internal capacity and navigate domestic political challenges. This paper highlights the dual benefits of regulatory reliance: enhancing regulatory efficiency during crises and mitigating politicization pressures. The findings demonstrate that MICs can better respond to public health emergencies by integrating external expertise, thus contributing to global regulatory resilience. In addition, the implications extend to broader regulatory political economy discussions, suggesting that reliance mechanisms can fortify less mature regulatory systems and promote convergence even in the absence of global harmonization.","","10.1016/j.socscimed.2024.117563"
"Trudy D Leong; Jacqui Miot; Andy Parrish; Jane Riddin; Yasmina Johnson; Tamara Kredo","Case studies of health economic analyses informing pharmaceutical health technology assessments for essential medicine selection and public-sector guidelines in South Africa.","International journal of technology assessment in health care",2024,"Constrained resources under universal health coverage (UHC) necessitate a balance between medication costs and essential health system requirements. Policymakers practice priority-setting, as either implicit or explicit rationing, embedded in evidence-informed decision-making processes to guide funding decisions. Health technology assessment (HTA) is a method that may assist explicit evidence-informed priority setting. South Africa developed an official HTA methods guide in 2022, however before this, commissioning and performing economic evaluations was not standardized. We conducted a descriptive collective case study to explore the impact of economic analyses on the selection of, and access to, essential medicines in South Africa. Four cases were purposefully selected, and both official information and secondary data, including media reports, were reviewed. Data elements were extracted and organized in a matrix. Cases were reported narratively with a positivist epistemological approach, presenting the authors' reflections. We found economic analyses that reflected methodologies described in the HTA guide: international reference pricing, cost-minimization, cost-effectiveness, cost-utility, and budget impact analyses. Economic analyses informing the 'resource-use' domain in the GRADE evidence-to-decision framework supported decision-making, influenced market-shaping with price reductions of interventions through benchmarking (fosfomycin, flucytosine), improved equitable access nationally (flucytosine), and prioritized a defined patient group in a justifiable and transparent manner (bortezomib). A standardized HTA evaluation process guided by a nationally accepted framework is necessary for evidence-informed decision-making. Economic analyses (cost-effectiveness, affordability, and resource use) should be consistently included when making decisions on new interventions.","clinical guidelines; economic analysis; essential medicines; health technology assessment; universal health coverage","10.1017/S0266462324000448"
"Evans Duah; Richard Kobina Dadzie Ephraim; Evans Mantiri Mathebula; Tivani Phosa Mashamba-Thompson","REASSURED evaluation of the Bioline HCV point-of-care testing for diagnosing hepatitis C virus infection in primary healthcare settings of Ghana: a study protocol.","BMJ open",2024,"Hepatitis C virus (HCV) infection is a silent epidemic that needs a comprehensive and contextualised approach to manage. Access to readily available, affordable and acceptable HCV point-of-care (POC) in vitro diagnostics (IVDs) is equally required to meet the global HCV goals. However, most guidelines for evaluating these IVDs such as the WHO prequalification process and country-specific standards disproportionately focus on diagnostic performance. The real-time connectivity, ease of specimen collection, affordability, sensitivity, specificity, user-friendliness, rapidity and robustness, equipment-free or simplicity and deliverability to end-users (REASSURED) criteria provide a holistic and user-oriented evaluation of the IVDs in the populations they are meant to be used. Therefore, as part of a multinational study in sub-Saharan Africa, we will conduct an evaluation of the Bioline HCV POC test for diagnosing HCV infection in primary healthcare settings of Ghana using the REASSURED criteria. This field evaluation will be conducted in three phases. The first phase will use a cross-sectional field evaluation study design to evaluate the diagnostic performance of the Bioline HCV POC test. The second phase will use mixed methods to ascertain operational characteristics and users' perceptions. In the third phase, a cross-sectional survey will be used to estimate the costs of accessing HCV diagnostics services using three proposed HCV testing models to inform the affordability of the testing pathways and linkage to care in the primary healthcare clinics. This phase will run concurrently with the second phase of the study. Thematic content analysis and quantitative data analysis will be performed using ATLAS.ti V.23.0.6 and StataCorp LLC's Stata statistical software V.16.0, respectively. The study protocol has been reviewed and fully approved by the Faculty of Health Sciences Research Ethics Committee, University of Pretoria (281/2023) and the Ghana Health Service Ethics Review Committee (GHS-ERC013/08/23). This diagnostic trial has also been registered in the Pan African Clinical Trial Registry (PACTR202410837698664). The findings of the study will be presented in relevant peer-reviewed journals, at local and international conferences, and to all stakeholders involved.","Diagnostic microbiology; Epidemiology; Hepatology; INFECTIOUS DISEASES; PUBLIC HEALTH","10.1136/bmjopen-2023-082416"
"Mari Tvaliashvili; Lela Sulaberidze; Catherine Goodman; Kara Hanson; George Gotsadze","Exploring the risks of fragmentation in health care markets - An analysis of inpatient care in Georgia.","Social science & medicine (1982)",2024,"Private providers play an important role in health systems in low-and middle-income countries. In many such contexts, markets are characterized by a high number of relatively small private facilities. The potential risks from highly concentrated healthcare markets are well-researched, and feature in the ""Theories of Harm"" investigated by competition regulators. However, there is limited evidence on markets that exhibit substantial harms as a result of very low concentration. This paper explores the risks associated with such market fragmentation, drawing on the example of Georgia, which has a largely privatized provider network. We used a mixed-method study design to analyze the inpatient market in Georgia. Market structure was described using administrative data on bed capacity and discharge numbers and geo-location data on travel time between facilities. The implications of the market structure were explored through in-depth interviews (n = 35) with policymakers, healthcare managers, and local experts and an anonymous online survey of similar groups (n = 97). Georgia's inpatient sector is characterized by a high number of small hospitals in terms of bed numbers and inpatient volumes, mitigated to a limited degree by the presence of provider networks. Travel time to the 3","","10.1016/j.socscimed.2024.117428"
"Frederic Debellut; Alena Friedrich; Ranju Baral; Clint Pecenka; Emmanuel Mugisha; Kathleen M Neuzil","The cost of typhoid illness in low- and middle-income countries, a scoping review of the literature.","PloS one",2024,"Typhoid fever is responsible for a substantial health burden in low- and middle-income countries (LMICs). New means of prevention became available with the prequalification of typhoid conjugate vaccines (TCV) by the World Health Organization (WHO) in 2018. Policymakers require evidence to inform decisions about TCV. The economic burden related to typhoid fever can be considerable, both for healthcare providers and households, and should be accounted for in the decision-making process. We aimed to understand the breadth of the evidence on the cost of typhoid fever by undertaking a scoping review of the published literature. We searched scientific databases with terms referring to typhoid fever cost of illness to identify published studies for the period January 1st 2000 to May 24th 2024. We also conferred with stakeholders engaged in typhoid research to identify studies pending completion or publication. We identified 13 published studies reporting empirical data for 11 countries, most of them located in Asia. The total cost of a typhoid episode ranged from $23 in India to $884 in Indonesia (current 2022 United States Dollar [USD]). Household expenditures related to typhoid fever were characterized as catastrophic in 9 studies. We identified 5 studies pending completion or publication, which will provide evidence for 9 countries, most of them located in Africa. Alignment in study characteristics and methods would increase the usefulness of the evidence generated and facilitate cross-country and regional comparison. The gap in evidence across regions should be mitigated when studies undertaken in African countries are published. There remains a lack of evidence on the cost to treat typhoid in the context of increasing antimicrobial resistance. Decision-makers should consider the available evidence on the economic burden of typhoid, particularly as risk factors related to antimicrobial resistance and climate change increase typhoid risk. Additional studies should address typhoid illness costs, using standardized methods and accounting for the costs of antimicrobial resistance.","","10.1371/journal.pone.0305692"
"Julia Gabel; Micha Lächele; Katharina Sander; Gesa Gnegel; Nkiru Sunny-Abarikwu; Rita Ezinwanne Ohazulike; Juliet Ngene; Jane Frances Chioke; Christine Häfele-Abah; Lutz Heide","Quality of Essential Medicines from Different Sources in Enugu and Anambra, Nigeria.","The American journal of tropical medicine and hygiene",2024,"This study investigated the quality of 13 essential medicines in the states of Enugu and Anambra, Nigeria. A total of 260 samples were purchased from licensed pharmaceutical manufacturers and wholesalers and from vendors in pharmaceutical markets with unclear licensing status. Samples were analyzed for identity, content, and dissolution according to the United States Pharmacopeia (USP) 42 monographs. Forty-five samples of this study could be examined for authenticity with the Mobile Authentication Service scheme of the Nigerian National Agency for Food and Drug Administration and Control. Out of all samples, 25.4% did not comply with the USP 42 specifications. Strikingly, 21 out of 22 dexamethasone tablet samples (95%) were out of specification (OOS). Nine out of 19 glibenclamide samples (47%) failed dissolution testing, and 7 out of 17 cotrimoxazole samples (41%) failed assay testing. Medicines against noncommunicable diseases showed a slightly higher percentage of OOS samples than anti-infectives (21.2% versus 17.6%). The rates of OOS samples were similar in medicines stated to be produced in Nigeria, India, and China but were very different between individual manufacturers from each of these countries of origin. Therefore, prequalification of products, manufacturers, and suppliers are very important for quality assurance in medicine procurement. Unexpectedly, the total proportions of OOS samples were similar from licensed vendors (25.2%) and from markets (25.5%). Four samples (1.5%), all collected in markets, were clearly falsified and did not contain the declared active pharmaceutical ingredients. The proportion of falsified medicines was found to be lower than frequently reported in the media for Nigeria.","","10.4269/ajtmh.23-0837"
"Sue Ann Costa Clemens; Isabela Gonzalez; Daniele Sereni; Ralf Clemens","Clinical trial capacity building in a pandemic-outcome of a rapid site readiness project in Latin America.","Frontiers in public health",2024,"Latin America (Latam) has a tradition of large-scale vaccine trials. Because of fluctuating demand, many sites have downsized their infrastructure. Therefore, BMGF launched a clinical trial site-readiness initiative early in the coronavirus-2019 (COVID-19) pandemic including Latam countries between August and September 2020. This survey evaluated clinical development performance measures pre/post initiative (September 2022). 20/21 prequalified sites participated in COVID-19 vaccine/drug development trials. 156 clinical trials (140 COVID-19 vaccine/drug trials) were initiated in the 2 years since prequalification, compared to 176 in the 5 years before. 33,428/37,810 participants were included in COVID-19 programs. The number of enrolled subjects/day across sites quadrupled from 15 (1-35) to 63 (5-300). The dropout rate was 6.8%. Study approval timelines were reduced from 60 (12-120) to 35 (5-90) days. Mean qualified staff was increased from 24 (6-80) to 88 (22-180). Clinical trial sites across Latam were successfully prequalified to participate in COVID-19 developments. For the 100 days mission of vaccine availability in a new pandemic sufficient and well-trained clinical trial sites readily available are essential. This is only achievable if sites-especially in low/middle-income countries-are maintained active through a constant flow of vaccine studies.","COVID-19; Latin America; clinical development; clinical trial site; site capacity building initiative; success metrics","10.3389/fpubh.2024.1179268"
